Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Recovery,With Pet,Competition,Long Run,For a Cause,Media
4441094491,"Dec 7, 2020, 10:30:15 AM",Lunch Run,Alpine Ski,"",1392,1.82,,,false,,,activities/4746156619.gpx.gz,,,1392.0,734.0,1825.4,7.3,2.487,2.4,392.4,1598.0,1991.0,31.3,-21.4,,,112.0,55.0,,,,,,,19.0,,,1,,,,,,,,,0.0,,0.0,,1.0,2295.5,1607335168.0,3.0,-4.7,-4.7,-4.9,0.98,1002.7,0.6,1.5,113.0,0.0,1607324160.0,1607355264.0,0.74,,,0.06,6.0,0.95,16093.0,1.0,281.0,,,,,,,,,,,,,,,,,,,,,,,""
4441094620,"Dec 7, 2020, 9:17:27 AM",Morning Run,Backcountry Ski,"",3672,2.96,,,false,,,activities/4746156742.gpx.gz,,,3672.0,3549.0,2959.5,1.9,0.834,367.8,1.4,1622.2,1990.2,43.2,12.4,,,78.0,49.0,,,,,,,16.0,,,,,,,,,,,,0.0,,0.0,,1.0,5038.2,1607331584.0,3.0,-5.8,-5.8,-5.8,1.0,1003.0,0.7,1.5,147.0,0.0,1607324160.0,1607355264.0,0.74,,,0.05,6.0,0.94,16093.0,0.0,280.1,,,,,,,,,,,,,,,,,,,,,,,""
4516204837,"Dec 25, 2020, 8:47:58 AM",Morning Ride,Alpine Ski,"",23873,43.29,,,false,,,activities/4825371874.gpx.gz,,,23873.0,14068.0,43297.3,13.4,3.078,4493.5,4656.8,1481.1,1978.0,50.0,-0.4,,,153.0,60.0,,,,,,,17.0,,,16,,,,,,,,,0.0,,0.0,,1.0,,1608883200.0,3.0,-5.4,-5.4,-5.4,1.0,1018.6,1.1,2.5,340.0,0.6,1608880128.0,1608910720.0,0.37,,,0.22,6.0,1.0,329.0,0.0,325.0,,,,,,,,,,,,,,,,,,,,,,,""
4525397480,"Dec 27, 2020, 3:05:20 PM",Afternoon Run,Run,,2261,5.31,,,false,,,activities/4835102934.gpx.gz,,,2261.0,2251.0,5315.1,4.4,2.361,108.0,96.2,413.8,451.8,32.4,0.2,,,82.0,75.0,,,,,,,19.0,,,,,,,,,,,,,,0.0,,1.0,5658.9,1609081216.0,3.0,0.9,0.9,-6.4,0.58,996.2,1.0,1.1,139.0,0.0,1609053184.0,1609083776.0,0.43,,,0.0,,0.97,16093.0,0.0,287.0,,,,,,,,,,,,,,,,,,,,,,,""
4542561537,"Dec 31, 2020, 6:38:18 AM",Morning Run,Run,,2374,5.60,,,false,,,activities/4853306155.gpx.gz,,,2374.0,2327.0,5602.5,10.9,2.408,80.4,86.8,432.6,475.6,31.4,-0.1,,,83.0,76.0,,,,,,,25.0,,,,,,,,,,,,,,0.0,,1.0,5863.5,1609394432.0,2.0,-2.7,-2.7,-4.4,0.88,1009.5,1.1,1.5,145.0,0.0,1609398784.0,1609429504.0,0.56,,,0.0,,0.81,16093.0,0.0,318.1,,,,,,,,,,,,,,,,,,,,,,,""
4549553064,"Jan 1, 2021, 2:49:39 PM",Afternoon Run,Run,,3432,7.14,,,false,,,activities/4860742972.gpx.gz,,,3432.0,2520.0,7141.9,5.8,2.834,37.4,43.2,433.6,462.4,16.2,-0.1,,,81.0,77.0,,,,,737.0,,19.0,,,,,,,,,,,,,,0.0,,1.0,7224.2,1609509632.0,3.0,2.8,2.8,0.6,0.86,1009.0,1.0,1.2,4.0,0.0,1609485056.0,1609515776.0,0.59,,,0.0,,0.95,16093.0,0.0,340.7,,,,,,,,,,,,,,,,,,,,,,,""
4641983001,"Jan 17, 2021, 9:08:39 AM",Morning Ride,Alpine Ski,"",19111,44.09,,,false,,,activities/4957571563.gpx.gz,,,19111.0,12193.0,44098.5,14.9,3.617,4030.8,4405.4,1479.1,1978.0,49.7,-0.8,,,137.0,61.0,,,,,,,19.0,,,17,,,,,,,,,0.0,,0.0,,1.0,,1610873984.0,6.0,-7.3,-9.9,-8.5,0.91,1019.1,1.4,2.5,196.0,0.9,1610866944.0,1610899328.0,0.16,,,0.28,6.0,1.0,159.0,0.0,362.0,,,,,,,,,,,,,,,,,,,,,,,""
4646242252,"Jan 19, 2021, 12:19:52 PM",Afternoon Run,Run,,2400,4.37,,,false,,,activities/4962000702.gpx.gz,,,2400.0,1927.0,4370.7,4.7,2.268,79.2,80.0,419.8,455.6,47.4,0.0,,,91.0,79.0,,,,,,,26.0,,,,,,,,,,,,,,0.0,,1.0,4651.4,1611057664.0,3.0,0.7,0.7,-2.6,0.79,1020.4,1.3,2.7,187.0,0.0,1611040000.0,1611072512.0,0.22,,,0.0,,0.93,16093.0,1.0,284.3,,,,,,,,,,,,,,,,,,,,,,,""
4651482952,"Jan 20, 2021, 12:09:06 PM",Afternoon Run,Run,,2133,5.08,,,false,,,activities/4967431893.gpx.gz,,,2133.0,2097.0,5087.5,4.2,2.426,50.8,40.4,419.0,442.2,47.2,0.2,,,84.0,79.0,,,,,,,27.0,,,,,,,,,,,,,,0.0,,1.0,5283.6,1611143936.0,3.0,2.2,2.2,-0.4,0.83,1012.3,0.7,0.7,98.0,0.0,1611126400.0,1611159040.0,0.25,,,0.0,,1.0,16093.0,1.0,295.8,,,,,,,,,,,,,,,,,,,,,,,""
4679433398,"Jan 25, 2021, 1:19:52 PM",Afternoon Ride,Alpine Ski,"",5839,25.38,,,false,,,activities/4996557993.gpx.gz,,,5839.0,5462.0,25379.9,18.5,4.647,2369.0,2473.8,1542.8,1866.6,49.7,-0.4,,,144.0,67.0,,,,,,,19.0,,,8,,,,,,,,,0.0,,0.0,,1.0,,1611579648.0,3.0,-4.8,-7.0,-9.2,0.71,1006.7,1.4,3.1,303.0,0.4,1611557760.0,1611591296.0,0.4,,,0.17,6.0,0.99,16093.0,1.0,377.3,,,,,,,,,,,,,,,,,,,,,,,""
